"year","production_springwheat","production_winterwheat","price","production_combined","sales"
2001,43271100,108426200,2.74173293172691,151697300,415913483.064056
2002,43060800,105605700,3.25412151394422,148666500,483778856.052789
2003,41628800,116774600,3.36150793650794,158403400,532474286.269841
2004,47597300,120074900,3.47854183266932,167672200,583254761.875697
2005,41254500,122463800,3.21519047619048,163718300,526385518.938095
2006,41140200,119436000,4.06068326693227,160576200,652049088.40757
2007,39504100,106125900,6.40856746031746,145630000,933279679.246032
2008,38468780,78261200,7.99083003952569,116729980,932769430.697233
2009,40272400,100004300,5.33808333333333,140276700,748808714.325
2010,49189800,121488000,5.8712123015873,170677800,1002085598.96786
2011,44420400,127335800,7.14425396825397,171756200,1227069913.42222
2012,46617000,118861000,7.5412380952381,165478000,1247908997.52381
2013,46715000,109915500,6.86083928571429,156630500,1074616687.74107
2014,34852500,86631400,5.8907657480315,121483900,715633197.057284
2015,38227100,81206700,5.08356746031746,119433800,607149779.342063
2016,43898600,127810500,4.39445634920635,171709100,754568144.711508
2017,32187700,119984000,4.40138844621514,152171700,669766762.220916
2018,33649700,114796500,4.97567658730159,148446200,738620281.813889
2019,39591000,120681000,4.94138492063492,160272000,791965644
2020,60331000,138642000,5.49804545454545,198973000,1093962598.22727
2021,28157300,73586000,7.0401862745098,101743300,716291784.183333
2022,38796000,116417000,9.5239011627907,155213000,1478233271.18023
